StatCode5,ShiptypeLevel5,Level4Code,ShipTypeLevel4,Level3Code,ShipTypeLevel3,Level2Code,ShipTypeLevel2,ShipTypeLevel1Code,ShiptypeLevel1,HullType,SubGroup,SubType
A11A2TN,LNG Tanker,A11A,LNG Tanker,A11,Liquefied Gas,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,LNG Tanker
A11B2TG,LPG Tanker,A11B,LPG Tanker,A11,Liquefied Gas,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,LPG Tanker
A11B2TH,LPG/Chemical Tanker,A11B,LPG Tanker,A11,Liquefied Gas,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,LPG/Chemical Tanker
A11C2LC,CO2 Tanker,A11C,CO2 Tanker,A11,Liquefied Gas,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,CO2 Tanker
A12A2LP,Molten Sulphur Tanker,A12A,Chemical Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Molten Sulphur Tanker
A12A2TC,Chemical Tanker,A12A,Chemical Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,Chemical Tanker
A12B2TR,Chemical/Products Tanker,A12B,Chemical/Oil Products Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,Chemical/Products Tanker
A12C2LW,Wine Tanker,A12C,Wine Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Wine Tanker
A12D2LV,Vegetable Oil Tanker,A12D,Vegetable Oil Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Vegetable Oil Tanker
A12E2LE,Edible Oil Tanker,A12E,Edible Oil Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Edible Oil Tanker
A12F2LB,Beer Tanker,A12F,Beer Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Beer Tanker
A12G2LT,Latex Tanker,A12G,Latex Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Latex Tanker
A12H2LJ,Fruit Juice Tanker,A12H,Fruit Juice Tanker,A12,Chemical,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Fruit Juice Tanker
A13A2TS,Shuttle Tanker,A13A,Crude Oil Tanker,A13,Oil,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,Shuttle Tanker
A13A2TV,Crude Oil Tanker,A13A,Crude Oil Tanker,A13,Oil,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,Crude Oil Tanker
A13A2TW,Crude/Oil Products Tanker,A13A,Crude Oil Tanker,A13,Oil,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,Crude/Oil Products Tanker
A13B2TP,Products Tanker,A13B,Oil Products Tanker,A13,Oil,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,Products Tanker
A13B2TU,Tanker (unspecified),A13B,Oil Products Tanker,A13,Oil,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Petroleum Products,Oil Tanker (unspecified)
A13C2LA,Asphalt/Bitumen Tanker,A13C,Bitumen Tanker,A13,Oil,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Asphalt/Bitumen Tanker
A13E2LD,Coal/Oil Mixture Tanker,A13E,Coal/Oil Mixture Tanker,A13,Oil,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Coal/Oil Mixture Tanker
A14A2LO,Water Tanker,A14A,Water Tanker,A14,Other Liquids,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Water Tanker
A14F2LM,Molasses Tanker,A14F,Molasses Tanker,A14,Other Liquids,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Molasses Tanker
A14G2LG,Glue Tanker,A14G,Glue Tanker,A14,Other Liquids,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Glue Tanker
A14H2LH,Alcohol Tanker,A14H,Alcohol Tanker,A14,Other Liquids,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Alcohol Tanker
A14N2LL,Caprolactam Tanker,A14N,Caprolactam Tanker,A14,Other Liquids,A1,Tankers,A,Cargo Carrying,Ship Shape Including Multi-Hulls,Liquid cargo,Caprolactam Tanker
