LRIMOShipNo,ShipName,ShipStatus,ShiptypeLevel5,GrossTonnage,Deadweight,BollardPull,Breadth,BunkersDescriptiveNarrative,CargoCapacitiesNarrative,CargoGradesSegregations,ClassNarrative,CountryOfBuild,DateOfBuild,Displacement,Draught,FlagCode,FlagName,FuelConsumptionTotal,FuelType1Capacity,FuelType1Code,FuelType1First,FuelType2Capacity,FuelType2Code,FuelType2Second,GasCapacity,GrainCapacity,HullType,HullTypeCode,IceCapabilityDescriptiveNarrative,Length,LiquidCapacity,MaritimeMobileServiceIdentityMMSINumber,NumberofTanks,Operator,PassengerCapacity,PortofRegistryCode,PortofRegistry,SegregatedBallastCapacity,SegregatedBallastTanks,Shipbuilder,ShiptypeGroup,ShiptypeLevel2,ShiptypeLevel3,ShiptypeLevel4,ShiptypeLevel5HullType,ShiptypeLevel5SubGroup,ShiptypeLevel5SubType,SlopTankCapacity,Speed,StandardShipDesign,StatCode5,TEU
1002756,MICHAELA ROSE,In Service/Commission,Yacht,525,0,0,8.72,,,0,Lloyd's Register (1984-06-00)LR Class: + 100 A1 Survey Type: Special Survey Date: 2007-12 Class Notation: Yacht LR Machinery Class: LR Maltese Cross LMC ,"Germany, Federal Republic Of",198406,0,2.89,GBI,United Kingdom,0,,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,49.25,0,233731000,,Rochelle Marine Ltd,0,819,Southampton,0,,Schweers F Schiffswerft - GFR,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,14,,X11A2YP,0
1004675,MEDUSE,In Service/Commission,Yacht,1028,0,0,10.55,,,0,Lloyd's Register (1996-10-02)LR Class: + 100 A1 Survey Type: Special Survey Date: 2011-09 Class Notation: Yacht (P) LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)LR Hull Notes: 5BH,Netherlands,199610,0,2.81,CAY,Cayman Islands,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,60.6,0,319305000,,Fraser Yachts Florida Inc,0,9072,George Town,0,,Slob Scheepswerf Papendre,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,16,,X11A2YP,0
1004819,LADY M I I,In Service/Commission,Yacht,658,0,0,9.35,,,0,Lloyd's Register (1994-01-31)LR Class: + 100 A1 Survey Type: Special Survey Date: 2009-01 Class Notation: Yacht LR Machinery Class: LR Maltese Cross LMC ,Netherlands,199401,0,3.75,MAI,Marshall Islands,0,,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,50,0,538070743,,ALB Ltd,0,600,Jaluit                                ,0,,Hakvoort Monnickendam,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,12,,X11A2YP,0
1006099,ATTESSA,In Service/Commission,Yacht,1289,0,0,11,,,0,Lloyd's Register (1998-06-02)LR Class: + 100 A1 Survey Type: Special Survey Date: 2008-06 Class Notation: Yacht (P) LR Machinery Class: LR Maltese Cross LMC LR Hull Notes: 6BH,Netherlands,199806,980,3.2,CAY,Cayman Islands,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,68.58,0,319421000,,Washington Yachting Group,0,9072,George Town,0,,Eltink's,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,16,,X11A2YP,0
1006312,INDIGO,In Service/Commission,Yacht,224,0,0,7.3,,,0,Lloyd's Register (2002-05-19)LR Class: 100 A1 Survey Type: Special Survey Date: 2008-03 Class Notation: SSC:Yacht:mono:G6 service area LR Machinery Class: LMC LR Hull Notes: 5BH   WB2.3T,Italy,199803,0,2.2,MAI,Marshall Islands,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,32.37,0,538070130,,Fraser Yachts Florida Inc,0,325,Bikini,0,,CBI Navi Srl,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,14,,X11A2YP,0
1006738,T6,In Service/Commission,Yacht,568,130,0,9.7,,,0,"Lloyd's Register (2007-04-05)LR Class: + 100 A1 Survey Type: Special Survey Date: 2012-04 Class Notation: SSC :Yacht, mono, G6 LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)LR Hull Notes: 5BH",New Zealand,200704,762,3.5,CAY,Cayman Islands,0,,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,48.53,0,319198000,,Flyghtship Construction Ltd,0,9072,George Town,0,,Flyghtship Construction Ltd,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,11.8,,X11A2YP,0
1006843,ALUMERCIA,In Service/Commission,Yacht,377,0,0,8,,,0,"Lloyd's Register (2010-05-04)LR Class: + 100 A1 Survey Type: Special Survey Date: 2010-05 Class Notation: SSC:Yacht, mono, G6 service area LR Machinery Class: LMC LR Hull Notes: 5BH",Netherlands,200102,225,2.3,CUR,Curacao,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,37.69,0,306482000,,United Trust Co NV,0,1,Willemstad,0,,Heesen,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,11.5,,X11A2YP,0
1007275,DREAM,In Service/Commission,Yacht,863,0,0,9.98,,,0,"Lloyd's Register (2003-05-15)LR Class: + 100 A1 Survey Type: Special Survey Date: 2008-05 Class Notation: SSC:yacht, mono G6 LR Machinery Class: LMC LR Hull Notes: 6BH",Netherlands,200305,803,3.35,CAY,Cayman Islands,0,,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,51.75,0,319874000,,Megayacht Technical Services,0,9072,George Town,0,,Eltink's,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,15.5,,X11A2YP,0
1008451,ARCADIA,In Service/Commission,Yacht,308,0,0,8.24,,,0,"Lloyd's Register (2006-04-04)LR Class: + 100 A1 Survey Type: Special Survey Date: 2011-04 Class Notation: SSC :Yacht, mono, G6 LR Machinery Class: LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)LR Hull Notes: 5BH",Netherlands,200604,300,2.57,CAY,Cayman Islands,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,35.8,0,319030600,,Southern Exposure Marine Ltd,0,9072,George Town,0,,Huisman Royal,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,13.7,,X11A2YP,0
1008542,JANICE OF WYOMING,In Service/Commission,Yacht (Sailing),198,0,0,8.7,,Crew 7,0,"Lloyd's Register (2005-05-18)LR Class: + 100 A1 Survey Type: Special Survey Date: 2010-05 Class Notation: SSC :Yacht, mono :G6 LR Machinery Class: LMC LR Hull Notes: 6BH",New Zealand,200505,198,4,CAY,Cayman Islands,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,39.75,0,319407000,,Mountain Country Ltd,0,9072,George Town,0,,Alloy Yachts,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private (Sailing)",,12,,X11A2YS,0
1009429,ETHEREAL,In Service/Commission,Yacht (Sailing),494,0,0,11.4,,Passengers; 22,0,"Lloyd's Register (2009-02-10)LR Class: + 100 A1 Survey Type: Special Survey Date: 2009-02 Class Notation: SSC :Yacht, mono, G6 LR Machinery Class: LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)LR Hull Notes: 5BH",Netherlands,200902,472,2,CAY,Cayman Islands,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,58.04,0,319680000,,YCO SAM,22,9072,George Town,0,,Huisman Royal,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private (Sailing)",,17,,X11A2YS,0
1010222,LUNA,In Service/Commission,Yacht,5655,1290,0,17.7,,,0,"Lloyd's Register (2010-03-31)LR Class: + 100 A1 Survey Type: Special Survey Date: 2010-03 Class Notation: SSC:Yacht, mono, G6:EP :Ice Class 1D LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces) , DPS (Dynamic Positioning): Automatic & independent Manual SafetyLR Hull Notes: 9BH",Germany,201003,6186,5.95,BER,Bermuda,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,FS Ice Class II,114.2,0,310591000,,Blue Ocean Management Ltd,0,9629,Hamilton,0,,Nord,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,18,,X11A2YP,0
1010820,SPIRIT,In Service/Commission,Yacht,656,0,0,9,,,0,"Lloyd's Register (2011-05-17)LR Class: + 100 A1 Survey Type: Special Survey Date: 2011-05 Class Notation: SSC:Yacht, mono, G6 LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)LR Hull Notes: 6BH",Poland,201105,738,3.15,CAY,Cayman Islands,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,52.3,0,319738000,,YCO SAM,0,9091,The Creek,0,,Damen Shipyards Gdynia SA,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,15,,X11A2YP,0
1010894,ROCHADE,In Service/Commission,Yacht,492,0,0,8.7,,Crew 10,0,"Lloyd's Register (2011-05-19)LR Class: + 100 A1 Survey Type: Special Survey Date: 2011-05 Class Notation: SSC:Yacht, mono, G6 LR Machinery Class: LMC LR Hull Notes: 5BH",United States Of America,201105,382,2.3,CAY,Cayman Islands,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,47.6,0,319026700,,Dynamic Yacht Management LLC,0,9072,George Town,0,,Delta Marine Seattle,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,22,,X11A2YP,0
5039678,BELINA,No Longer Meets Ihsf Criteria,Fishing Vessel,138,0,0,7.04,,,0,,Canada,195100,0,0,CAN,Canada,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,23.63,0,316003527,,Unknown,0,1673,"Vancouver, BC",0,,Benson AC Shipyards Ltd,,Fishing,Fish Catching,Fishing Vessel,Ship Shape Including Multi-Hulls,Fishing,Fishing Vessel,,11,,B11B2FV,0
5057931,CAPE JACOB,U.S. Reserve Fleet,General Cargo Ship,12929,14579,0,23.17,,"Bale 22,002; Insulated 1,103; Liquid @ 98% 753",0,"American Bureau of Shipping (1962-03-00) AB: Special Survey Date: 2008-08-29 Class Notation: (+)A1, (E), (+)AMS, (+)RMC ",United States Of America,196201,0,9.63,USA,United States Of America,0,5434,RF,Residual Fuel,0,NN,Not Applicable,0,0,,,,172.22,753,366504000,4,MSC USA Govt Dept,0,5815,"Norfolk, VA",0,,Newport News,,Dry Cargo/Passenger,General Cargo,General Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,General Cargo,,20,,A31A2GX,0
5064673,MARAUDER,In Service/Commission,Tug,162,0,0,7.4,,,0,,United States Of America,195708,0,0,USA,United States Of America,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,25.73,0,367012110,,Channel Construction Inc,0,2112,"Seattle, WA",0,,Todd Shyds Corp Seattle,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,0,,B32A2ST,0
5070127,ST. EVAL,In Service/Commission,Yacht,209,0,0,7.32,,,0,,United Kingdom,193004,0,3.664,GBI,United Kingdom,0,0,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,34.45,0,233217000,,Washington Yachting Group,0,1354,Falmouth                              ,0,,Scott & Sons,,Non-Merchant Ships,Yacht,Yacht,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private",,10.5,,X11A2YP,0
5072905,PATRICIA S,In Service/Commission,Tug,149,0,0,7.32,,,0,,United States Of America,196200,0,3.08,USA,United States Of America,0,63,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,25.68,0,369500000,,Island Tug & Barge Co,0,2112,"Seattle, WA",0,,Main,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,0,,B32A2ST,0
5149825,HESQUIAT,No Longer Meets Ihsf Criteria,Fishing Vessel,167,0,0,7.07,,,0,,Canada,194400,0,3.15,CAN,Canada,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,34.14,0,316005022,,Unknown,0,1673,"Vancouver, BC",0,,Newcastle Shipbuilding Co Ltd,,Fishing,Fish Catching,Fishing Vessel,Ship Shape Including Multi-Hulls,Fishing,Fishing Vessel,,0,,B11B2FV,0
5153890,COASTAL SEA,In Service/Commission,General Cargo Ship,809,958,0,10.36,Fuel: consumption: 3.00pd,"Insulated 1,436",0,,Sweden,195600,0,3.093,USA,United States Of America,3,39.5,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,Ice strengthened,59.43,0,366788000,,Coastal Transportation,0,2112,"Seattle, WA",0,,Asi-Verken,,Dry Cargo/Passenger,General Cargo,General Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,General Cargo,,10.5,,A31A2GX,0
